px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0.0287602	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.3115	0.239106	-3.02343	0.0287602	-3.15827e-10	8.44818	0.251553	8.45	0.25	-3.00027	0	1.89075
8.17253	0.235108	-2.84458	0.0287602	3.11808e-09	8.56759	0.241943	8.45	0.25	0	0	10.3272
8.06118	0.231905	-2.58531	0.0287579	-2.422e-05	8.45582	0.253997	8.45	0.25	0	0	16.8476
7.93381	0.228242	-2.49184	0.0287566	-2.43467e-05	8.42544	0.254042	8.35	0.25	-1.81979	0	3.23234
7.88902	0.226961	-2.05897	0.0287257	-0.000190706	8.23962	0.24916	8.25	0.25	-1.81978	0	15.5753
7.77053	0.223556	-2.14352	0.0287166	-0.000188967	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	3.183
7.71587	0.221808	-1.96178	0.0292897	0.00210084	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	2.58966
7.60262	0.218491	-2.03114	0.0293957	0.00210396	7.61269	0.155818	7.7	0.15	-2.99982	0	1.49846
7.51386	0.215369	-1.99467	0.0308287	0.00612842	7.54016	0.159641	7.55	0.15	-2.99982	0	0.413963
7.41005	0.212136	-1.9769	0.0311756	0.00615432	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0.118277
7.31454	0.204804	-1.94374	0.0409964	0.0291762	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	3.08189
7.19841	0.200035	-1.98682	0.0425908	0.0291435	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.699959
7.07395	0.180989	-2.02557	0.0700219	0.0814945	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	5.89672
6.95595	0.172627	-2.03333	0.0746573	0.0818031	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	0.658428
6.84176	0.118297	-2.04948	0.152585	0.209894	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	15.9454
6.73776	0.101925	-2.05656	0.163259	0.210191	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.0919637
6.63142	-0.00719187	-2.10137	0.304001	0.412512	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	24.9336
6.54697	-0.0404596	-2.03401	0.329089	0.419898	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	1.44581
6.47755	-0.203776	-2.0518	0.519114	0.658112	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	26.6828
6.39565	-0.264135	-1.98588	0.564728	0.672722	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	1.83781
6.33749	-0.527639	-2.10855	0.840158	0.979949	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	40.0991
6.2705	-0.61573	-2.09289	0.896876	0.983492	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	0.497096
6.20246	-0.88272	-2.34232	1.11865	1.18355	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	20.2213
6.17822	-1.01759	-2.28989	1.22374	1.24035	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	6.29502
